title,author,time,speak,push
[請益] TopGun2一幕請教,PanaS0Nic (騙納索零客),Mon May 30 10:49:49 2022,30,7
Re: [討論]  《哭悲》 MyVideo 5月27日上架 !,dagoma (兩津),Mon May 30 10:32:18 2022,18,1
Fw: [公告] 電影板板規 12/08/202,ckshchen (尖酸苛博文),Sat Sep  4 19:59:47 2021,16,20
Re: [贈票]【侏羅紀世界：統霸天下】特映會搶先看,pinbycandy (),Mon May 30 11:04:54 2022,14,3
[宣導] 請注意防雷 / 分類,lgng66133 (臭猴子),Thu Nov  4 13:08:14 2021,7,0
[新聞] 安柏律師崩潰躲廁所偷哭 連強尼支持者也,godofsex (性愛戰神),Mon May 30 00:04:50 2022,12,87
[討論] 捍衛戰士2是否證明不是只有漫威？,smallchocho (smallchocho),Mon May 30 08:34:33 2022,8,25
[問片] 某部金城武主演的日本電影,glazes (格萊斯),Mon May 30 00:12:59 2022,18,20
[普雷] 捍衛戰士2 真的是過譽了……,onesweetday (onesweetday),Mon May 30 00:16:55 2022,3,27
Re: [新聞] 安柏律師崩潰躲廁所偷哭 連強尼支持,Ashaku (赦無心),Mon May 30 06:09:11 2022,13,26
Re: [討論] 湯姆克魯斯真的跟布萊德彼特有心結嗎？,sonans (),Sun May 29 21:56:19 2022,28,62
[討論] 湯姆克魯斯真的跟布萊德彼特有心結嗎？,chirex (不含銅鋰鋅),Sun May 29 21:35:07 2022,20,72
Re: [新聞] 華納新CEO：DC現在像是一輛沒有大燈的車,diesss (千千萬萬個我),Sun May 29 21:06:44 2022,22,12
[情報] Bryce Howard表示她演隱形女的報導是謠傳,kenny1300175 (蘇湖),Sun May 29 21:25:57 2022,21,8
[新聞] 朴贊郁奪坎城導演獎 想再合作影帝宋康昊,Gotham (萬惡之城),Sun May 29 23:49:30 2022,21,3
[Live] 東森電影 21:00 養鬼人,ckny (辛苦的歲月),Sun May 29 20:59:39 2022,17,2
[新聞] 北影呼應當代 聚焦烏克蘭國族戰爭與生命,Gotham (萬惡之城),Sun May 29 23:46:23 2022,25,1
[普雷] 男性視角下：《藍色是最溫暖的顏色》,watercolor (我們同樣沒有名字),Sun May 29 19:31:39 2022,20,6
[新聞] 《捍衛戰士2》穩破阿湯哥生涯開片紀錄,singlesingle (時間之翼),Sun May 29 21:26:51 2022,11,108
[問片] 問一部電影（附圖）,denny0000002 (DKING),Sun May 29 19:21:11 2022,30,1
Re: [ 好雷] 捍衛戰士：獨行俠,Ailkernoos (艾克),Sun May 29 18:17:56 2022,18,12
[問片] 問一部日本片,malone5566 (馬龍),Sun May 29 16:24:38 2022,9,7
[極好雷] 《Appleseed EX MACHINA》,BSWho (唔嘩啦啦嗚啊),Sun May 29 16:17:34 2022,,0
[新聞] 捍衛戰士2 台票房賣座！飛行夾克配雷朋,toebb (玫瑰色鍊金術送「官方PVC),Sun May 29 16:06:21 2022,11,30
[新聞] 傳聞，瓦昆菲尼克斯將加盟漫威電影宇宙?,kenny1300175 (蘇湖),Sun May 29 16:02:54 2022,20,21
Re: [新聞] 華納新CEO：DC現在像是一輛沒有大燈的車,protess (釣魚宗師),Sun May 29 14:33:26 2022,15,26
Re: [情報] 乳華恐怖電影《小熊維尼：血與蜜》,chirex (不含銅鋰鋅),Sun May 29 15:14:43 2022,5,0
